Pricing_index,Reward,Period_index,product_1_demand,product_2_demand,product_3_demand,resouce_1,resouce_2,constraint_0,constraint_1,constraint_2,use_price_index_1,use_price_index_2,use_price_index_3,use_infinite_price,alpha_k-1_n-1,alpha_k-1_n-2,alpha_k-1_n-3,alpha_k-2_n-1,alpha_k-2_n-2,alpha_k-2_n-3,alpha_k-3_n-1,alpha_k-3_n-2,alpha_k-3_n-3,beta_k-1_n-1,beta_k-1_n-2,beta_k-1_n-3,beta_k-2_n-1,beta_k-2_n-2,beta_k-2_n-3,beta_k-3_n-1,beta_k-3_n-2,beta_k-3_n-3,theta_k-1_n-1,theta_k-1_n-2,theta_k-1_n-3,theta_k-2_n-1,theta_k-2_n-2,theta_k-2_n-3,theta_k-3_n-1,theta_k-3_n-2,theta_k-3_n-3
1.0,8.0,1,0.0,0.0,1.0,9538.0,9403.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09093342148150106,0.9723190775888259,0.11531597886426559,0.8112062948773413,0.3892866331184241,0.6044569262256895,0.6928039423178186,0.7413205478111295,0.18440379668312992
4.0,0.0,2,0.0,0.0,0.0,9531.0,9390.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.097545594611356,0.0019503570228995505,0.5007285363267939,0.789742700543014,0.7774141470203517,0.8159437440893359,0.49611351814706794,0.9398663448020369,0.7744093815200846
1.0,19.0,3,1.0,1.0,1.0,9531.0,9390.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.38445341009707784,0.11283488990469454,0.7202653162700409,0.630935928073562,0.7149676853730538,0.9180716848880648,0.46376811037150334,0.3695374929471573,0.031514885063942635
4.0,0.0,4,0.0,0.0,0.0,9511.0,9356.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.10482289995443006,0.16281242000726204,0.8545427234820328,0.1063265025233756,0.754252672978219,0.9511079967045893,0.3131980575251897,0.2987223509904664,0.0663423348955372
1.0,8.0,5,0.0,0.0,1.0,9511.0,9356.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.18845238742847273,0.10479169080071621,0.35017963104705185,0.17298191598772147,0.3922657341055548,0.8937140157207103,0.2880466514855801,0.302221059023497,0.30285045462552307
4.0,0.0,6,0.0,0.0,0.0,9504.0,9343.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.24233385553240275,0.20628605494807692,0.7550650057783327,0.05381724756003572,0.9476121890524164,0.9860221000676842,0.37266296139001803,0.04142557663211402,0.3849532728459993
1.0,15.0,7,1.0,0.0,1.0,9504.0,9343.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.030655433904661005,0.3490749355068204,0.9511363242949178,0.021174543472597195,0.8106759427159975,0.6201767549057886,0.4670388293213149,0.43444182735622855,0.023323551158624865
4.0,0.0,8,0.0,0.0,0.0,9490.0,9321.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.23042710059258,0.02504930621968138,0.9393752069536484,0.5000145245920813,0.31339474308339227,0.025549071092846834,0.31139916675754714,0.35704834771572896,0.6092941984614296
4.0,0.0,9,0.0,0.0,0.0,9490.0,9321.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.46603608134608476,0.32854904057182366,0.9698415958707962,0.27584382989303574,0.5142159475000095,0.13830742733326842,0.30448976142694983,0.6604923014737107,0.3996054568595975
4.0,0.0,10,0.0,0.0,0.0,9490.0,9321.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.23801213069582502,0.431429425279394,0.9729832363462597,0.1673351667542274,0.5327183926469439,0.9004177744557998,0.48642910466461775,0.1412704583457992,0.49896383951921125
1.0,15.0,11,1.0,0.0,1.0,9490.0,9321.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.3067721742848679,0.15297647782835494,0.8824821960314982,0.7544432744361855,0.5269539125611395,0.5701107155518966,0.8399625201095207,0.10145764744825707,0.24723140079286585
4.0,0.0,12,0.0,0.0,0.0,9476.0,9299.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.42230612586352195,0.2445884869514662,0.9621599573591281,0.06755514261373889,0.02640958404534863,0.6140816482944851,0.36433513058614275,0.45304932119326635,0.5874912178654674
4.0,0.0,13,0.0,0.0,0.0,9476.0,9299.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4509683182842962,0.13063809834930729,0.9368316018915398,0.7395800719359649,0.32101350175519594,0.5782181273088659,0.7016165071970919,0.6068175261125718,0.11679464532803445
1.0,15.0,14,1.0,0.0,1.0,9476.0,9299.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,3.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.368429666150495,0.11621200385062111,0.9668300499373494,0.6769009267068311,0.43085701432283213,0.21972816979536672,0.4516463494642719,0.18836779521462887,0.25686346554581374
1.0,8.0,15,0.0,0.0,1.0,9462.0,9277.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,4.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.6111140204064821,0.279385170235436,0.9650577524839101,0.06602023021008364,0.8692398969455425,0.7062281604160431,0.7228718018925361,0.10518960160074513,0.8234550000071307
