Pricing_index,Reward,Period_index,product_1_demand,product_2_demand,resouce_1,resouce_2,constraint_0,constraint_1,constraint_2,use_price_index_1,use_price_index_2,use_price_index_3,use_infinite_price,alpha_k-1_n-1,alpha_k-1_n-2,alpha_k-2_n-1,alpha_k-2_n-2,alpha_k-3_n-1,alpha_k-3_n-2,beta_k-1_n-1,beta_k-1_n-2,beta_k-2_n-1,beta_k-2_n-2,beta_k-3_n-1,beta_k-3_n-2,theta_k-1_n-1,theta_k-1_n-2,theta_k-2_n-1,theta_k-2_n-2,theta_k-3_n-1,theta_k-3_n-2
2.0,6.0,1,1.0,0.0,10393.0,10339.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0285534521470591,0.5619040700655881,0.014187284476815845,0.9723241582938243,0.41811680914823585,0.12025253672117553
2.0,6.0,2,1.0,0.0,10379.0,10327.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0842670970077233,0.41552235332692944,0.08327112529115237,0.7975588721546378,0.7997433349501651,0.4728198257585759
2.0,3.0,3,0.0,1.0,10365.0,10315.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5418554077715843,0.6318798404600474,0.5053420676742085,0.23579738172496365,0.22571981042301778,0.5355183106446678
2.0,6.0,4,1.0,0.0,10354.0,10310.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.33345090529826504,0.08291760062251274,0.1515958155357812,0.7268644752399037,0.7419845829257004,0.4551800894998351
2.0,6.0,5,1.0,0.0,10340.0,10298.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.7840333337086648,0.11165251173553921,0.4238915568559989,0.9300865771348994,0.5184423481458894,0.6866824966371509
4.0,0.0,6,0.0,0.0,10326.0,10286.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,0.9041537238149692,0.4445142554245702,0.5590036178658676,0.5975525129404384,0.6076376651206261,0.9882974279852155
2.0,6.0,7,1.0,0.0,10326.0,10286.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,1.0,1.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,0.4013789433558461,0.8525960639942678,0.5209348488556751,0.7991176887665155,0.2683738539871469,0.35902599915625405
2.0,6.0,8,1.0,0.0,10312.0,10274.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,0.11799371432821491,0.8314618898787915,0.689228299141265,0.3624756868270961,0.6740008969840339,0.8318148311752626
2.0,9.0,9,1.0,1.0,10298.0,10262.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,2.0,1.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,3.0,1.0,0.5951270168467327,0.11834934967744137,0.5239907305800796,0.7287634232951542,0.3688731552819124,0.3705455642825606
4.0,0.0,10,0.0,0.0,10273.0,10245.0,0.7077377425529019,10.393,8.486969708395835,0.0,0.7077377425529019,0.0,0.2922622574470981,2.0,1.0,3.0,3.0,4.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7092967303942179,0.5050339114835137,0.49561409689183816,0.4900833627968667,0.3548329855177559,0.6107789610311389
