Pricing_index,Reward,Period_index,product_1_demand,product_2_demand,product_3_demand,resouce_1,resouce_2,constraint_0,constraint_1,constraint_2,c_1,c_2,use_price_index_1,use_price_index_2,use_price_index_3,use_infinite_price,alpha_k-1_n-1,alpha_k-1_n-2,alpha_k-1_n-3,alpha_k-2_n-1,alpha_k-2_n-2,alpha_k-2_n-3,alpha_k-3_n-1,alpha_k-3_n-2,alpha_k-3_n-3,beta_k-1_n-1,beta_k-1_n-2,beta_k-1_n-3,beta_k-2_n-1,beta_k-2_n-2,beta_k-2_n-3,beta_k-3_n-1,beta_k-3_n-2,beta_k-3_n-3,theta_k-1_n-1,theta_k-1_n-2,theta_k-1_n-3,theta_k-2_n-1,theta_k-2_n-2,theta_k-2_n-3,theta_k-3_n-1,theta_k-3_n-2,theta_k-3_n-3
1.0,8.0,1,0.0,0.0,1.0,9538.0,9403.0,0.6723470230062624,4.8931132156093735,9.403,9.538,9.403,0.6723470230062624,0.0,0.0,0.32765297699373763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09093342148150106,0.9723190775888259,0.11531597886426559,0.8112062948773413,0.3892866331184241,0.6044569262256895,0.6928039423178186,0.7413205478111295,0.18440379668312992
3.0,0.0,2,0.0,0.0,0.0,9531.0,9390.0,1.0,5.3164074403048005,9.3993993993994,9.54054054054054,9.3993993993994,0.8919228942163414,0.0,0.10807710578365862,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.097545594611356,0.0019503570228995505,0.5007285363267939,0.789742700543014,0.7774141470203517,0.8159437440893359,0.49611351814706794,0.9398663448020369,0.7744093815200846
1.0,8.0,3,0.0,0.0,1.0,9531.0,9390.0,0.663642070963121,5.581256643865595,9.408817635270541,9.550100200400802,9.408817635270541,0.663642070963121,0.0,0.0,0.336357929036879,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.38445341009707784,0.11283488990469454,0.7202653162700409,0.630935928073562,0.7149676853730538,0.9180716848880648,0.46376811037150334,0.3695374929471573,0.031514885063942635
1.0,8.0,4,0.0,0.0,1.0,9524.0,9377.0,0.6715032318528382,5.165494213986633,9.405215646940823,9.552657973921765,9.405215646940823,0.6715032318528382,0.0,0.0,0.3284967681471618,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.10482289995443006,0.16281242000726204,0.8545427234820328,0.1063265025233756,0.754252672978219,0.9511079967045893,0.3131980575251897,0.2987223509904664,0.0663423348955372
1.0,8.0,5,0.0,0.0,1.0,9517.0,9364.0,1.0,4.399174274132969,7.5059069800765235,9.555220883534137,9.401606425702811,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.18845238742847273,0.10479169080071621,0.35017963104705185,0.17298191598772147,0.3922657341055548,0.8937140157207103,0.2880466514855801,0.302221059023497,0.30285045462552307
1.0,12.0,6,0.0,1.0,1.0,9510.0,9351.0,0.64937856156563,5.337572514855523,9.397989949748744,9.557788944723619,9.397989949748744,0.64937856156563,0.0,0.0,0.35062143843437,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.24233385553240275,0.20628605494807692,0.7550650057783327,0.05381724756003572,0.9476121890524164,0.9860221000676842,0.37266296139001803,0.04142557663211402,0.3849532728459993
4.0,0.0,7,0.0,0.0,0.0,9497.0,9326.0,0.5574886089837544,4.99899585249353,9.382293762575452,9.554325955734406,9.382293762575452,0.5574886089837544,0.0,0.0,0.4425113910162456,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.030655433904661005,0.3490749355068204,0.9511363242949178,0.021174543472597195,0.8106759427159975,0.6201767549057886,0.4670388293213149,0.43444182735622855,0.023323551158624865
4.0,0.0,8,0.0,0.0,0.0,9497.0,9326.0,0.6438736109176808,5.369205374217272,9.391742195367573,9.563947633434038,9.391742195367573,0.6438736109176808,0.0,0.0,0.3561263890823192,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.23042710059258,0.02504930621968138,0.9393752069536484,0.5000145245920813,0.31339474308339227,0.025549071092846834,0.31139916675754714,0.35704834771572896,0.6092941984614296
4.0,0.0,9,0.0,0.0,0.0,9497.0,9326.0,0.45318273597616815,5.448361338669864,9.401209677419354,9.57358870967742,9.401209677419354,0.45318273597616815,0.0,0.0,0.5468172640238318,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.46603608134608476,0.32854904057182366,0.9698415958707962,0.27584382989303574,0.5142159475000095,0.13830742733326842,0.30448976142694983,0.6604923014737107,0.3996054568595975
1.0,15.0,10,1.0,0.0,1.0,9497.0,9326.0,0.47128782871518826,5.215056262324519,9.410696266397578,9.583249243188698,9.410696266397578,0.47128782871518826,0.0,0.0,0.5287121712848117,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.23801213069582502,0.431429425279394,0.9729832363462597,0.1673351667542274,0.5327183926469439,0.9004177744557998,0.48642910466461775,0.1412704583457992,0.49896383951921125
4.0,0.0,11,0.0,0.0,0.0,9483.0,9304.0,0.584853899796078,5.405593732113281,9.397979797979797,9.578787878787878,9.397979797979797,0.584853899796078,0.0,0.0,0.41514610020392195,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.3067721742848679,0.15297647782835494,0.8824821960314982,0.7544432744361855,0.5269539125611395,0.5701107155518966,0.8399625201095207,0.10145764744825707,0.24723140079286585
4.0,0.0,12,0.0,0.0,0.0,9483.0,9304.0,0.4888553803830272,5.455036243144267,9.407482305358949,9.588473205257836,9.407482305358949,0.4888553803830272,0.0,0.0,0.5111446196169728,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.42230612586352195,0.2445884869514662,0.9621599573591281,0.06755514261373889,0.02640958404534863,0.6140816482944851,0.36433513058614275,0.45304932119326635,0.5874912178654674
1.0,19.0,13,1.0,1.0,1.0,9483.0,9304.0,0.5288911727381695,5.552525913395649,9.417004048582996,9.598178137651821,9.417004048582996,0.5288911727381695,0.0,0.0,0.47110882726183045,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4509683182842962,0.13063809834930729,0.9368316018915398,0.7395800719359649,0.32101350175519594,0.5782181273088659,0.7016165071970919,0.6068175261125718,0.11679464532803445
1.0,15.0,14,1.0,0.0,1.0,9463.0,9270.0,0.5435492583819371,5.4594576900362695,9.39209726443769,9.587639311043567,9.39209726443769,0.5435492583819371,0.0,0.0,0.45645074161806287,3.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.368429666150495,0.11621200385062111,0.9668300499373494,0.6769009267068311,0.43085701432283213,0.21972816979536672,0.4516463494642719,0.18836779521462887,0.25686346554581374
1.0,8.0,15,0.0,0.0,1.0,9449.0,9248.0,0.4383183218978954,5.570812599497557,9.379310344827585,9.58316430020284,9.379310344827585,0.4383183218978954,0.0,0.0,0.5616816781021046,4.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.6111140204064821,0.279385170235436,0.9650577524839101,0.06602023021008364,0.8692398969455425,0.7062281604160431,0.7228718018925361,0.10518960160074513,0.8234550000071307
4.0,0.0,16,0.0,0.0,0.0,9442.0,9235.0,0.601565100875558,5.373584079195942,9.375634517766498,9.585786802030457,9.375634517766498,0.601565100875558,0.0,0.0,0.39843489912444197,4.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.2789477791488945,0.1306025353443929,0.8852032728240936,0.5118004128678559,0.558665894302206,0.4341093287586078,0.837538115331345,0.002675191107960926,0.36319516063182883
1.0,8.0,17,0.0,0.0,1.0,9442.0,9235.0,0.5352968784965056,5.1456690812213735,9.385162601626016,9.595528455284553,9.385162601626016,0.5352968784965056,0.0,0.0,0.46470312150349435,4.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.16103705121379708,0.3786415438465786,0.8876614561366158,0.30786192879453567,0.5484351946044469,0.38052491282569106,0.22560945701978757,0.7099521879695151,0.2655468094067926
4.0,0.0,18,0.0,0.0,0.0,9435.0,9222.0,0.5092138127931435,5.397032969427503,9.381485249237029,9.598168870803661,9.381485249237029,0.5092138127931435,0.0,0.0,0.4907861872068565,4.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.3650740159969327,0.23375532045968367,0.9486722851854381,0.8347746048121585,0.27632677087489016,0.7276734182657538,0.3366232899686551,0.5829541817280172,0.08462755102867602
1.0,15.0,19,1.0,0.0,1.0,9435.0,9222.0,0.6445098172466648,5.446368277441508,9.391038696537679,9.607942973523421,9.391038696537679,0.6445098172466648,0.0,0.0,0.3554901827533352,4.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.3039547571617569,0.10854098145612008,0.8102106739478795,0.1853657240291951,0.29207824622197914,0.33734699426083026,0.6087898395145096,0.2321854104904749,0.5054826650182005
1.0,19.0,20,1.0,1.0,1.0,9421.0,9200.0,0.6523030520876929,5.335807141963486,9.378185524974516,9.603465851172274,9.378185524974516,0.6523030520876929,0.0,0.0,0.3476969479123071,5.0,3.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.2624523535114147,0.27476058868170866,0.6706030294308313,0.2323730049800273,0.9556507259041929,0.41021690566825003,0.31037056741603036,0.2269143476197939,0.3165763129067784
4.0,0.0,21,0.0,0.0,0.0,9401.0,9166.0,0.48324934476763876,5.495653882504352,9.353061224489796,9.592857142857143,9.353061224489796,0.48324934476763876,0.0,0.0,0.5167506552323613,6.0,4.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5006836168597392,0.2768304953046619,0.8866466064390226,0.5966628963608622,0.027462452389024315,0.236526703798443,0.9731061403219673,0.3087316339729238,0.5766778324506413
1.0,11.0,22,1.0,1.0,0.0,9401.0,9166.0,0.5346578601109194,5.524236542480297,9.362614913176712,9.602655771195098,9.362614913176712,0.5346578601109194,0.0,0.0,0.4653421398890806,6.0,4.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4326798357427588,0.06254100597772383,0.9897540760314696,0.11611960734774662,0.9035786088369523,0.26482293233062176,0.20787343977038122,0.017957500710006836,0.35669540686805845
1.0,15.0,23,1.0,0.0,1.0,9388.0,9145.0,0.45979651162548835,5.415331485484682,9.350715746421267,9.599182004089979,9.350715746421267,0.45979651162548835,0.0,0.0,0.5402034883745117,7.0,5.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4499034800127507,0.3073440501014078,0.9691830187718224,0.026536840484389347,0.05243659347934211,0.4506959713998486,0.5630500927203902,0.12964379850848162,0.1168755017888302
4.0,0.0,24,0.0,0.0,0.0,9374.0,9123.0,0.5330077170394569,5.639334217892879,9.337768679631525,9.59467758444217,9.337768679631525,0.5330077170394569,0.0,0.0,0.46699228296054307,8.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,11.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5862967663544516,0.2511081689571677,0.7099264032141782,0.16098784438211647,0.23719098000248445,0.7082435632969355,0.12405727978195011,0.037068297915194795,0.07063128778654967
1.0,15.0,25,1.0,0.0,1.0,9374.0,9123.0,0.5616075228344144,5.530751735076749,9.34733606557377,9.604508196721312,9.34733606557377,0.5616075228344144,0.0,0.0,0.4383924771655856,8.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,11.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4640763359702035,0.2460749396191915,0.7318698212121869,0.2138604495348943,0.4504383732407527,0.9005812926067128,0.4334085771192793,0.6056213404069302,0.3287676216724767
