Pricing_index,Reward,Period_index,product_1_demand,product_2_demand,resouce_1,resouce_2,constraint_0,constraint_1,constraint_2,c_1,c_2,use_price_index_1,use_price_index_2,use_price_index_3,use_infinite_price,alpha_k-1_n-1,alpha_k-1_n-2,alpha_k-2_n-1,alpha_k-2_n-2,alpha_k-3_n-1,alpha_k-3_n-2,beta_k-1_n-1,beta_k-1_n-2,beta_k-2_n-1,beta_k-2_n-2,beta_k-3_n-1,beta_k-3_n-2,theta_k-1_n-1,theta_k-1_n-2,theta_k-2_n-1,theta_k-2_n-2,theta_k-3_n-1,theta_k-3_n-2
2.0,3.0,1,0.0,1.0,10393.0,10339.0,1.0,10.393000000000002,4.813463902154819,10.393,10.339,0.116190645334371,0.883809354665629,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0285534521470591,0.5619040700655881,0.014187284476815845,0.9723241582938243,0.41811680914823585,0.12025253672117553
3.0,7.0,2,0.0,1.0,10382.0,10334.0,1.0,10.39239239239239,6.9569650291467156,10.392392392392392,10.344344344344345,0.5640148856386745,0.0,0.4359851143613255,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0842670970077233,0.41552235332692944,0.08327112529115237,0.7975588721546378,0.7997433349501651,0.4728198257585759
3.0,9.0,3,1.0,1.0,10371.0,10329.0,1.0,10.391783567134269,6.431345769322498,10.391783567134269,10.349699398797595,0.2444468307185663,0.0,0.7555531692814337,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5418554077715843,0.6318798404600474,0.5053420676742085,0.23579738172496365,0.22571981042301778,0.5355183106446678
2.0,9.0,4,1.0,1.0,10346.0,10312.0,1.0,10.377131394182548,5.734830643374399,10.377131394182548,10.343029087261785,0.0,0.950865084316405,0.04913491568359495,0.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.33345090529826504,0.08291760062251274,0.1515958155357812,0.7268644752399037,0.7419845829257004,0.4551800894998351
3.0,7.0,5,0.0,1.0,10321.0,10295.0,0.6996124390442445,10.362449799196787,6.754562669888594,10.362449799196787,10.336345381526105,0.0,0.0,0.6996124390442445,0.3003875609557555,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.7840333337086648,0.11165251173553921,0.4238915568559989,0.9300865771348994,0.5184423481458894,0.6866824966371509
3.0,9.0,6,1.0,1.0,10310.0,10290.0,0.5347147603750595,10.361809045226131,6.541240053920045,10.361809045226131,10.341708542713567,0.0,0.0,0.5347147603750595,0.4652852396249405,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,0.9041537238149692,0.4445142554245702,0.5590036178658676,0.5975525129404384,0.6076376651206261,0.9882974279852155
2.0,6.0,7,1.0,0.0,10285.0,10273.0,1.0,10.347082494969818,6.664597039880919,10.347082494969818,10.335010060362173,0.0,0.3152209486616422,0.6847790513383579,0.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,0.4013789433558461,0.8525960639942678,0.5209348488556751,0.7991176887665155,0.2683738539871469,0.35902599915625405
1.0,2.0,8,1.0,0.0,10271.0,10261.0,0.9579006051081754,10.343403826787513,5.338604241443907,10.343403826787513,10.333333333333334,0.9579006051081754,0.0,0.0,0.04209939489182457,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,0.11799371432821491,0.8314618898787915,0.689228299141265,0.3624756868270961,0.6740008969840339,0.8318148311752626
3.0,9.0,9,1.0,1.0,10257.0,10249.0,1.0,10.339717741935484,6.93625217364849,10.339717741935484,10.331653225806452,0.0,0.17988951488550553,0.8201104851144945,0.0,2.0,1.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,3.0,1.0,0.5951270168467327,0.11834934967744137,0.5239907305800796,0.7287634232951542,0.3688731552819124,0.3705455642825606
3.0,9.0,10,1.0,1.0,10232.0,10232.0,0.8835119617888038,10.324924318869828,6.460142836105793,10.324924318869828,10.324924318869828,0.0,0.0,0.8835119617888038,0.11648803821119624,2.0,1.0,3.0,3.0,4.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7092967303942179,0.5050339114835137,0.49561409689183816,0.4900833627968667,0.3548329855177559,0.6107789610311389
